Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country
489554,22633,HAND WARMER UNION JACK,8,2023-01-01 15:25:00,11.24,15571,Germany
489857,20727,LUNCH BAG BLACK SKULL,50,2023-01-02 09:02:00,48.35,15576,United Kingdom
489684,48187,DOORMAT NEW ENGLAND,1,2023-01-03 09:37:00,1.32,17023,Germany
489663,47566,PARTY BUNTING,4,2023-01-04 08:09:00,28.48,16984,United Kingdom
489799,21730,GLASS STAR FROSTED T-LIGHT HOLDER,8,2023-01-04 08:30:00,2.9,18166,United Kingdom
489764,22748,POPPY'S PLAYHOUSE KITCHEN,6,2023-01-04 13:43:00,42.9,15048,Germany
489886,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,2023-01-04 19:44:00,43.49,17809,United Kingdom
489819,22623,BOX OF VINTAGE JIGSAW BLOCKS,1,2023-01-05 08:34:00,27.1,16202,United Kingdom
489773,22622,BOX OF VINTAGE ALPHABET BLOCKS,12,2023-01-05 17:04:00,0.72,16096,United Kingdom
489736,22086,PAPER CHAIN KIT 50'S CHRISTMAS,12,2023-01-06 19:21:00,14.81,14550,United Kingdom
489828,21755,LOVE BUILDING BLOCK WORD,7,2023-01-07 18:34:00,39.66,15038,EIRE
489875,71053,WHITE METAL LANTERN,12,2023-01-08 14:03:00,8.06,16279,Germany
489495,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,8,2023-01-08 15:34:00,29.26,18010,United Kingdom
489468,21755,LOVE BUILDING BLOCK WORD,4,2023-01-09 11:30:00,23.2,17938,Germany
489817,85099B,JUMBO BAG RED RETROSPOT,12,2023-01-09 13:48:00,30.25,16821,United Kingdom
489757,22086,PAPER CHAIN KIT 50'S CHRISTMAS,6,2023-01-10 12:27:00,9.5,16671,Spain
489603,22914,BLUE COAT RACK PARIS FASHION,4,2023-01-10 17:30:00,39.18,15356,United Kingdom
489751,22632,HAND WARMER RED POLKA DOT,12,2023-01-12 12:59:00,5.81,16053,United Kingdom
489548,84029E,RED WOOLLY HOTTIE WHITE HEART,6,2023-01-13 18:50:00,32.2,17480,United Kingdom
489883,85099B,JUMBO BAG RED RETROSPOT,11,2023-01-14 09:14:00,40.73,16959,United Kingdom
489819,22197,POPCORN HOLDER,12,2023-01-14 15:25:00,26.75,14822,United Kingdom
489490,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,5,2023-01-14 16:09:00,1.98,16826,Germany
489748,22622,BOX OF VINTAGE ALPHABET BLOCKS,9,2023-01-15 09:50:00,24.72,16442,United Kingdom
489558,84406B,CREAM CUPID HEARTS COAT HANGER,10,2023-01-16 08:50:00,3.22,14439,United Kingdom
489489,22633,HAND WARMER UNION JACK,2,2023-01-16 19:05:00,2.85,14039,United Kingdom
489635,22382,LUNCH BAG SPACEBOY DESIGN,6,2023-01-16 19:38:00,16.56,17753,United Kingdom
489883,85099C,JUMBO BAG BAROQUE BLACK WHITE,11,2023-01-17 11:06:00,39.25,14994,United Kingdom
489855,22197,POPCORN HOLDER,11,2023-01-18 11:35:00,24.59,14585,EIRE
489564,22913,RED COAT RACK PARIS FASHION,4,2023-01-18 12:58:00,48.49,14749,United Kingdom
489526,22748,POPPY'S PLAYHOUSE KITCHEN,1,2023-01-18 19:31:00,15.54,16171,United Kingdom
489485,21212,PACK OF 72 RETROSPOT CAKE CASES,9,2023-01-19 11:51:00,29.74,15035,United Kingdom
489872,84406B,CREAM CUPID HEARTS COAT HANGER,3,2023-01-21 17:27:00,40.15,14291,United Kingdom
489616,84406B,CREAM CUPID HEARTS COAT HANGER,3,2023-01-22 18:57:00,12.86,14970,United Kingdom
489440,22912,YELLOW COAT RACK PARIS FASHION,8,2023-01-23 12:26:00,28.18,18213,United Kingdom
489666,84029E,RED WOOLLY HOTTIE WHITE HEART,2,2023-01-23 15:08:00,9.94,15805,United Kingdom
489813,22310,IVORY KNITTED MUG COSY,85,2023-01-23 15:35:00,7.69,14292,United Kingdom
489454,22622,BOX OF VINTAGE ALPHABET BLOCKS,4,2023-01-24 09:04:00,46.87,17563,United Kingdom
489515,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,2023-01-26 12:39:00,22.1,17201,United Kingdom
489729,20727,LUNCH BAG BLACK SKULL,63,2023-01-27 08:40:00,0.81,15933,United Kingdom
489528,85099B,JUMBO BAG RED RETROSPOT,5,2023-01-27 10:32:00,21.74,15583,Netherlands
489473,22632,HAND WARMER RED POLKA DOT,12,2023-01-27 11:25:00,29.62,16046,United Kingdom
489711,23084,RABBIT NIGHT LIGHT,12,2023-01-28 12:52:00,31.19,14572,United Kingdom
489847,22914,BLUE COAT RACK PARIS FASHION,11,2023-01-28 13:15:00,7.81,14720,United Kingdom
489841,84879,ASSORTED COLOUR BIRD ORNAMENT,5,2023-01-28 16:42:00,26.59,16863,Germany
489570,22632,HAND WARMER RED POLKA DOT,9,2023-01-29 14:29:00,45.05,16373,United Kingdom
489656,20727,LUNCH BAG BLACK SKULL,5,2023-01-30 09:52:00,49.24,17165,United Kingdom
489532,22622,BOX OF VINTAGE ALPHABET BLOCKS,57,2023-01-30 10:33:00,46.84,14210,United Kingdom
